T,P,rho,h,cp,mu,k
681.0,23.0,123.71725570570001,2754917.680877912,7640.924211152487,2.7533217555323673e-05,0.12033914403885007
682.0,23.0,122.64429104493638,2762482.462102749,7490.0330035397,2.7540491273824387e-05,0.11928446980361718
683.0,23.0,121.6073819675866,2769900.409052832,7347.140467108842,2.7549488912415934e-05,0.11828454647227642
684.0,23.0,120.60432797496678,2777179.18987461,7211.598324199122,2.7560086932552696e-05,0.11733534876071326
685.0,23.0,119.63312148065125,2784325.8605393847,7082.828745781326,2.7572173471661636e-05,0.11643325025683364
686.0,23.0,118.69192593152286,2791346.930403877,6960.3148607018,2.758564695656952e-05,0.11557497432016231
687.0,23.0,117.77905694935504,2798248.419061998,6843.592775780285,2.7600414914532497e-05,0.11475755216252619
688.0,23.0,116.89296600506897,2805035.9058554615,6732.244831437151,2.761639294919415e-05,0.11397828689879277
689.0,23.0,116.03222622745906,2811714.57316499,6625.89387368123,2.7633503854912265e-05,0.11323472258696322
690.0,23.0,115.19552001948674,2818289.2444073097,6524.198366840755,2.7651676847740697e-05,0.11252461745870075
691.0,23.0,114.38162821229272,2824764.417505325,6426.8482054369315,2.7670846895213152e-05,0.11184592068577857
692.0,23.0,113.58942053300815,2831144.294471117,6333.5611103528345,2.7690954130174582e-05,0.11119675214335947
693.0,23.0,112.81784719963095,2837432.8076376747,6244.079515627096,2.7711943336404067e-05,0.11057538472384615
694.0,23.0,112.06593148655239,2843633.6429902026,6158.167869072143,2.7733763495802612e-05,0.10998022883013805
695.0,23.0,111.33276312907965,2849750.2609782373,6075.610283426233,2.775636738857171e-05,0.10940981873814691
696.0,23.0,110.61749245572126,2855785.9151320006,5996.208485636363,2.777971123916603e-05,0.1088628005683296
697.0,23.0,109.91932515385008,2861743.6687586955,5919.780020683753,2.7803754401919028e-05,0.10833792164694951
698.0,23.0,109.23751758835418,2867626.4099545088,5846.1566735380175,2.7828459081165283e-05,0.10783402107157385
699.0,23.0,108.57137260456473,2873436.8651347337,5775.183078694994,2.7853790081450804e-05,0.10735002132331829
700.0,23.0,107.92023575651426,2879177.6112563326,5706.715491572759,2.787971458406331e-05,0.10688492079164374
701.0,23.0,107.28349190979317,2884851.086883672,5640.620700018596,2.7906201946651276e-05,0.10643778709697357
702.0,23.0,106.66056217520718,2890459.6022280073,5576.77505747603,2.793322352315194e-05,0.10600775111272366
703.0,23.0,106.05090113529539,2896005.3482743376,5515.063622102386,2.7960752501629046e-05,0.10559400160206606
704.0,23.0,105.45399433076528,2901490.4050946957,5455.379388418363,2.7988763757944442e-05,0.1051957803963585
705.0,23.0,104.8693559781414,2906916.7494344884,5397.622599989805,2.8017233723460595e-05,0.104812378051993
706.0,23.0,104.29652689355865,2912286.2616478777,5341.700133256902,2.8046140265205743e-05,0.1044431299307802
707.0,23.0,103.73507260075769,2917600.7320489506,5287.524943989401,2.8075462577132673e-05,0.10408741265611564
708.0,23.0,103.18458160400584,2922861.866737574,5235.015568999655,2.8105181081273473e-05,0.10374464090326409
709.0,23.0,102.6446638089924,2928071.2929518735,5184.095676726434,2.8135277337739875e-05,0.10341426448733212
710.0,23.0,102.11494907674209,2933230.5639934,5134.693661137645,2.8165733962646152e-05,0.10309576571699676
711.0,23.0,101.59508589732634,2938341.163765821,5086.74227411374,2.8196534553140748e-05,0.10278865698593409
712.0,23.0,101.08474017166223,2943404.5109634493,5040.178292085687,2.8227663618828884e-05,0.10249247857724965
